time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.29445e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.731967	0.626118	7.28503	-3.04867e-17	-2.58147e-17	radar	7.97872	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16058	0.49472	7.28849	-0.126554	-0.0118022	lidar	0.024485	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25652	0.533644	7.27022	0.118513	0.0297132	radar	1.32815	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61724	0.595099	7.28605	0.158924	0.0462846	lidar	0.000268992	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85172	0.564733	5.90104	0.0360614	-0.188919	radar	1.9447	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.1594	0.59556	5.90342	0.0501337	-0.139042	lidar	0.000249369	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3744	0.644116	5.41035	0.0831177	-0.149988	radar	0.155289	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64495	0.665121	5.4146	0.0748809	-0.153101	lidar	5.57774e-06	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.9123	0.659024	5.38262	0.0314368	-0.291272	radar	0.0018776	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14334	0.658899	5.3323	0.0192279	-0.282366	lidar	0.000809872	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43254	0.55241	5.42082	-0.140356	-0.751933	radar	0.00146409	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
