time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010462349642	48.1508	17.31	2.57659	0.196062	-0.28219	lidar	1.94619	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1327	17.3112	2.78082	0.204938	-0.2711	radar	0.0444372	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6206	19.0259	2.83099	0.786885	0.350989	lidar	2.014	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6099	19.0095	3.12895	0.764849	0.31948	radar	0.0865461	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.69	19.9256	2.75113	0.144049	-0.365879	lidar	4.22677	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6597	19.9172	2.79598	0.156202	-0.353176	radar	0.00598495	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0355	21.0561	2.45946	0.464522	0.128141	lidar	1.28818	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0119	21.0419	2.68677	0.452642	0.112907	radar	0.0583914	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6492	21.796	2.87426	0.22117	-0.137283	lidar	0.335221	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6491	21.7974	2.88503	0.221955	-0.136519	radar	0.000121549	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8848	22.775	2.41418	0.409217	0.0888229	lidar	0.541418	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8665	22.7649	2.66834	0.401442	0.0795106	radar	0.0703297	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3754	23.419	2.69652	0.217743	-0.109854	lidar	0.194833	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4522	23.4456	2.60038	0.212073	-0.117608	radar	0.0331213	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3234	23.9878	3.30552	0.17075	-0.0595184	lidar	0.158844	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.22	23.9487	2.42744	0.147172	-0.085203	radar	0.816029	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.2689	24.3526	2.14793	0.187806	0.00209202	lidar	0.0721106	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3632	24.3856	2.52881	0.204791	0.0162522	radar	0.175258	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8227	24.8833	2.72468	0.215277	0.0127489	lidar	0.0128321	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7835	24.868	2.3112	0.210113	0.00558391	radar	0.178002	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.895	24.735	2.06628	-0.134977	-0.240752	lidar	0.222074	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9494	24.7575	2.33448	-0.122331	-0.225796	radar	0.0662652	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	74.9976	25.2258	1.96303	0.267842	0.199187	lidar	0.817068	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	74.9915	25.2217	2.0391	0.264599	0.19608	radar	0.00628844	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
